UART command listener started.

Waiting for command:

Received '1' command. GPIO high, start read.

Addr 0x101005A6 = 0x7D11

Addr 0x101005A8 = 0x7CE9

Addr 0x101005AA = 0x6EC3

Addr 0x101005AC = 0x56A4

Addr 0x101005AE = 0x378F

Addr 0x101005B0 = 0x1183

Addr 0x101005B2 = 0xE984

Addr 0x101005B4 = 0xC392

Addr 0x101005B6 = 0xA4AA

Addr 0x101005B8 = 0x8FC9

Addr 0x101005BA = 0x83EF

Addr 0x101005BC = 0x8417

Addr 0x101005BE = 0x923D

Addr 0x101005C0 = 0xAA5C

Addr 0x101005C2 = 0xC971

Addr 0x101005C4 = 0xEF7D

Addr 0x101005C6 = 0x177C

Addr 0x101005C8 = 0x3D6E

Addr 0x101005CA = 0x5C56

Addr 0x101005CC = 0x7137

Addr 0x101005CE = 0x7D11

Addr 0x101005D0 = 0x7CE9

Addr 0x101005D2 = 0x6EC3

Addr 0x101005D4 = 0x56A4

Addr 0x101005D6 = 0x378F

Addr 0x101005D8 = 0x1183

Addr 0x101005DA = 0xE984

Addr 0x101005DC = 0xC392

Addr 0x101005DE = 0xA4AA

Addr 0x101005E0 = 0x8FC9

Addr 0x101005E2 = 0x83EF

Addr 0x101005E4 = 0x8417

Addr 0x101005E6 = 0x923D

Addr 0x101005E8 = 0xAA5C

Addr 0x101005EA = 0xC971

Addr 0x101005EC = 0xEF7D
